ImageNumber,ObjectNumber,FileName_Draq5,FileName_NBDglucose,PathName_Draq5,PathName_NBDglucose,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Draq5,Intensity_IntegratedIntensityEdge_NBDglucose,Intensity_IntegratedIntensity_Draq5,Intensity_IntegratedIntensity_NBDglucose,Intensity_LowerQuartileIntensity_Draq5,Intensity_LowerQuartileIntensity_NBDglucose,Intensity_MADIntensity_Draq5,Intensity_MADIntensity_NBDglucose,Intensity_MassDisplacement_Draq5,Intensity_MassDisplacement_NBDglucose,Intensity_MaxIntensityEdge_Draq5,Intensity_MaxIntensityEdge_NBDglucose,Intensity_MaxIntensity_Draq5,Intensity_MaxIntensity_NBDglucose,Intensity_MeanIntensityEdge_Draq5,Intensity_MeanIntensityEdge_NBDglucose,Intensity_MeanIntensity_Draq5,Intensity_MeanIntensity_NBDglucose,Intensity_MedianIntensity_Draq5,Intensity_MedianIntensity_NBDglucose,Intensity_MinIntensityEdge_Draq5,Intensity_MinIntensityEdge_NBDglucose,Intensity_MinIntensity_Draq5,Intensity_MinIntensity_NBDglucose,Intensity_StdIntensityEdge_Draq5,Intensity_StdIntensityEdge_NBDglucose,Intensity_StdIntensity_Draq5,Intensity_StdIntensity_NBDglucose,Intensity_UpperQuartileIntensity_Draq5,Intensity_UpperQuartileIntensity_NBDglucose,Location_CenterMassIntensity_X_Draq5,Location_CenterMassIntensity_X_NBDglucose,Location_CenterMassIntensity_Y_Draq5,Location_CenterMassIntensity_Y_NBDglucose,Location_CenterMassIntensity_Z_Draq5,Location_CenterMassIntensity_Z_NBDglucose,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Draq5,Location_MaxIntensity_X_NBDglucose,Location_MaxIntensity_Y_Draq5,Location_MaxIntensity_Y_NBDglucose,Location_MaxIntensity_Z_Draq5,Location_MaxIntensity_Z_NBDglucose,Number_Object_Number
1,1,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,4195,8424,497,333,416,229,454.0784266984505,285.1837902264601,13.678182702489446,6109,0.8384020942278054,73.08378678040711,-34,0.49798195631528963,0.07310912726863919,105.7660914930958,110.25878649794764,20.396078054371138,6.392436417190687,5.0,71.0,57.648043538322376,18.802363306044768,849.1513703397204,0.6866917662465215,6.549614790827036,5.528023283928633,33.09436220722273,30.35112581588328,0.005355916917324066,0.006771191023290157,0.002197299152612686,0.000396734569221735,1.2304042989209705,0.2182123339461447,0.027496756985783577,0.00805676355957985,0.030487526208162308,0.01123064011335373,0.008095939172839352,0.0068331560987992986,0.00788900171805071,0.0072350717081962525,0.007354848552495241,0.007110704202204943,0.0023041123058646917,0.006042572669684887,0.0022735942620784044,0.006042572669684887,0.0035642791697541713,0.00034501543780425845,0.003471712518896777,0.000637172310621667,0.009826810099184513,0.00759899290278554,455.12558147180226,454.2701128759638,285.8298255346669,285.28806405844387,0.0,0.0,454.0784266984505,285.1837902264601,0,461.0,467.0,283.0,292.0,0.0,0.0,1
1,2,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,30911,143925,922,584,447,281,661.9636051890913,435.8415450810391,74.70311930888568,53375,0.9776609475961451,198.386258514315,-337,0.21477158242140004,0.013386321873189217,561.6602330227887,517.9285665031424,43.01162633521314,8.626614596788459,4.47213595499958,132.56347405995277,118.05434287050032,-63.49074922664644,5386.79970774822,0.5791288056206089,27.409872956341133,33.94242827966809,177.2815466800239,226.83102515898645,0.0036316472105681896,0.006759746931493282,0.0017547877505421638,0.0004272526130080223,19.666471213815093,2.6466786514521914,0.027420463040471077,0.008117799647152424,0.027420463040471077,0.013260089792311192,0.005505095994444895,0.006817117549642116,0.005735225216913846,0.007338197572352446,0.00521858548745513,0.00712596345692873,0.0022735942620784044,0.006042572669684887,0.0022583352401852608,0.006042572669684887,0.002697245827891748,0.0003311742557100314,0.002745580195066679,0.0008461023037484882,0.007232776377350092,0.0076905470341444016,644.6304440203766,659.4991852907823,445.1330257974362,436.80670954830447,0.0,0.0,661.9636051890913,435.8415450810391,0,503.0,629.0,500.0,452.0,0.0,0.0,2
1,3,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,3220,12728,404,463,256,377,324.9335403726708,421.24378881987576,47.642099770477316,6845,0.9623007807278602,64.02992530096552,-61,0.25298554368321813,0.020989838920149283,162.964362089689,151.58495967608397,12.041594578792296,2.262738150274574,1.4142135623730951,54.430320898051576,44.324271607117055,64.90917780281995,1388.4438302826452,0.4704163623082542,10.810757755767554,9.013611198402941,25.142855288926512,22.635874327737838,0.005127031356096268,0.006652933545410633,0.0023651481606066227,0.0002899216488003731,7.0084373844494126,0.9315727095324169,0.029388876631855965,0.008178835734724998,0.029388876631855965,0.010727092623710632,0.008196177221961755,0.0068336703551197435,0.007808340151840532,0.007029774635943428,0.007263294421136379,0.006912337150424719,0.0023193713277578354,0.006118868011981249,0.002288853283971548,0.0061036087572574615,0.003750728330218569,0.0003296030404234235,0.003645676152178744,0.0005656537016306926,0.009872587397694588,0.007263294421136379,331.52250023137935,324.10157865710687,423.63205232126654,420.8246618498756,0.0,0.0,324.9335403726708,421.24378881987576,0,311.0,283.0,432.0,399.0,0.0,0.0,3
1,4,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,4440,10560,141,686,31,590,71.8722972972973,645.0894144144144,22.087399203944898,6434,0.7277362780351946,75.18765575960008,-56,0.42045454545454547,0.04527468312436694,97.82940576152647,109.5627673984187,21.840329667841555,5.575584316335577,3.605551275463989,73.84807781984242,67.0969888225208,49.816141651101624,1110.1168824543142,0.6900839291265154,5.332234757486731,7.122881022281945,22.55794645822607,31.34786042245105,0.0033264667727053165,0.006698710843920708,0.0014648661017417908,0.0003204392269253731,0.4866945482679892,0.24607255843265663,0.014358739368617535,0.00860608834773302,0.016327153891324997,0.01020828541368246,0.005107504556979627,0.00682268297153443,0.005080618571672539,0.0070603289239754615,0.004638742655515671,0.0069733732379972935,0.002288853283971548,0.0061036087572574615,0.0022735942620784044,0.006057831924408674,0.0022343863315032685,0.00033272419083452603,0.00225912613669071,0.0005123332628606829,0.006363012362271547,0.007339589763432741,72.35828481085402,71.94459014821034,645.0631899986776,645.3246280358746,0.0,0.0,71.8722972972973,645.0894144144144,0,116.0,92.0,639.0,659.0,0.0,0.0,4
1,5,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,13460,32025,339,834,156,659,232.64160475482913,755.9031946508172,19.667291848764528,21666,0.660470141091552,130.91143675071055,-68,0.4202966432474629,0.05084584129272575,170.21848500406585,184.5453873712372,47.4236228055175,12.196010346356184,9.0,149.19785897792067,127.80894281669754,-72.23918088595998,1823.8946237714777,0.6212498846118342,7.894880707142875,11.724544328637421,59.744183293543756,105.93756160978228,0.0026703288313001394,0.006942855194211006,0.0013885709922760725,0.0007171742618083954,5.695978218040091,1.747856363817798,0.016571298241615295,0.008178835734724998,0.0312962532043457,0.014053558930754662,0.004603428983756778,0.006836468996290042,0.004438646604275167,0.007870546924946677,0.003936827648431063,0.007553216069936752,0.0022583352401852608,0.0061036087572574615,0.0022583352401852608,0.0060883499681949615,0.002168755333430065,0.00032993540217941163,0.00211011533795033,0.0011982536418232478,0.005508507136255503,0.008560311049222946,237.81551724657822,230.98367461957739,753.5210113270342,756.4566108912389,0.0,0.0,232.64160475482913,755.9031946508172,0,186.0,219.0,736.0,748.0,0.0,0.0,5
1,6,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,3765,9776,703,850,599,756,644.4013280212483,801.9521912350598,34.0970418143298,6501,0.6888595445714326,69.2368896321021,-49,0.38512684124386254,0.029328057414638672,92.93379301058037,103.81714694596457,17.204650534085253,3.808266446571887,2.0,80.1542567681142,67.36722693770493,69.57233292801828,1270.122979108724,0.5791416705122289,7.099580481182784,8.299199043773115,20.17007733276114,26.38388689653948,0.0034637979697436094,0.006652933545410633,0.0015564204659312963,0.0002899216488003731,3.4379318047912113,0.18509714546980754,0.016464484855532646,0.008010986261069775,0.02532997727394104,0.00962844304740429,0.0058480893584701675,0.006836243034409485,0.00535725825571345,0.007007672482480605,0.004837110172957182,0.006942855194211006,0.002288853283971548,0.006134126801043749,0.0022735942620784044,0.0061036087572574615,0.0026485956092893574,0.000333549635750308,0.002492353699793891,0.0004913428431968428,0.006710154935717583,0.007263294421136379,647.8241292971869,644.2410113678721,802.2743814270709,801.8596735399343,0.0,0.0,644.4013280212483,801.9521912350598,0,672.0,632.0,815.0,797.0,0.0,0.0,6
2,1,Trial1_2-0002.tif,Trial1_2-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,22704,55664,665,624,469,340,562.2949700493305,510.6682522903453,21.598799665196804,37808,0.7804940586815253,170.02244152954378,-85,0.4078758263868928,0.04629886917333413,249.05255138510842,292.8361316504505,53.71219600798314,14.4373913849422,10.198039027185569,170.68559876377822,155.6984895396385,-14.403271696557836,2482.395236516116,0.600507829030893,12.449866652255878,19.729350973386317,111.60111542209052,288.1120800226927,0.002990768291056156,0.009094377048313618,0.001541161211207509,0.0020447084680199623,7.710596701360375,4.183249237294805,0.024628061801195145,0.011490043252706528,0.0472266711294651,0.03526359796524048,0.005462863822841543,0.00865702105019145,0.004915482532685453,0.012689926005227831,0.004364080261439085,0.010711833834648132,0.0022735942620784044,0.007003891281783581,0.002243076218292117,0.006744487676769495,0.002760282108237408,0.0006548922392091644,0.0024288778897748557,0.004978635947043011,0.006149386055767536,0.014785991981625557,568.4440003195274,558.4416819008057,506.0160777206165,512.2966701193335,0.0,0.0,562.2949700493305,510.6682522903453,0,629.0,561.0,364.0,529.0,0.0,0.0,1
2,2,Trial1_2-0002.tif,Trial1_2-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,3830,7725,425,850,322,775,365.7415143603133,807.6851174934726,14.810791210193065,5520,0.7204788195361643,69.83199450349154,-46,0.49579288025889967,0.06751833752890805,95.59002820736315,110.92339699089638,14.866068747318506,3.982123269324722,3.1622776601683795,73.49250114776399,66.28948055128924,-78.76471385628273,844.2935059634514,0.6938405797101449,3.4275730969384313,6.757793654222041,16.80622590216808,34.953948736190796,0.002731364918872714,0.008438238874077797,0.0013427939265966415,0.0006256196647882462,0.9347917643373396,0.24820631889338848,0.01716640032827854,0.01107805036008358,0.01716640032827854,0.013321125879883766,0.0043774879909813935,0.008630643236554332,0.004388048538425086,0.009126357372373576,0.003921568859368563,0.009018082171678543,0.0022735942620784044,0.006851301062852144,0.0022735942620784044,0.006652933545410633,0.002007420466457293,0.0006356492971926354,0.002003610683151157,0.0009719092164654048,0.005432211793959141,0.009689479134976864,366.1238619087801,365.9439709952604,806.832095808605,807.5415288877111,0.0,0.0,365.7415143603133,807.6851174934726,0,350.0,401.0,780.0,793.0,0.0,0.0,2
3,1,Trial1_3-0002.tif,Trial1_3-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,20115,35148,444,515,270,313,360.16311210539396,431.04613472532935,12.581248257119682,25449,0.6134430003838559,160.03503817085743,-88,0.5722942983953567,0.07948336918271234,189.1030236072382,247.07286374670934,39.81205847478876,11.265968296139674,9.0,159.9979569865709,149.34203242042423,-40.608854634621856,1783.3098833543772,0.7904043380879406,7.218875501770526,11.005188261158764,121.13333496754058,153.59878163412213,0.0035858701448887587,0.0068970778957009315,0.001998931635171175,0.0005340659990906715,3.6009039661357094,0.7678174385429599,0.023422598838806152,0.008209354244172573,0.04303044080734253,0.01745632104575634,0.0044643633282439865,0.0068059296605805595,0.006022040018271965,0.0076360318982909335,0.0053864349611103535,0.0073701078072190285,0.0022735942620784044,0.0061036087572574615,0.0022735942620784044,0.006073090713471174,0.002226231962410813,0.00032205776944419065,0.0031489030748041,0.0011001075062252045,0.007705806288868189,0.00804150477051735,361.4834530425309,359.75966641115275,434.39624057187393,430.3928543944385,0.0,0.0,360.16311210539396,431.04613472532935,0,369.0,340.0,398.0,408.0,0.0,0.0,1
3,2,Trial1_3-0002.tif,Trial1_3-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/A/A_FIP,5773,15180,115,469,0,337,35.56417807032739,394.9170275420059,31.27685339813482,9566,0.8032338046558505,85.73454316526154,-88,0.3803030303030303,0.03197252572919099,132.66437592617328,149.24141516348604,18.24828759089466,4.279729742665662,2.8284271247461903,86.3640558123307,79.02337658141026,-29.23529598722416,1506.3199846221441,0.6034915325109764,10.329350853804499,9.499946750700474,41.364065531408414,40.53553128289059,0.0046082246117293835,0.00666819280013442,0.0021515218541026115,0.0003051804378628731,2.7008551676754764,0.0744751396460442,0.026520179584622383,0.008163576945662498,0.027450980618596077,0.009689479134976864,0.007415183671072864,0.006819775126130994,0.007165090166535322,0.007021571329099357,0.006530861370265484,0.006942855194211006,0.0022735942620784044,0.006073090713471174,0.0022735942620784044,0.006073090713471174,0.0036609623887930856,0.0003343033989614778,0.0034359195183202482,0.0004939558369133537,0.009048599749803543,0.0072938124649226665,37.86919403398741,35.52449543323594,396.32469229045694,394.85400504809485,0.0,0.0,35.56417807032739,394.9170275420059,0,14.0,40.0,354.0,392.0,0.0,0.0,2
